Subject,Start Date,Start Time,End Date,End Time,Description
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1",03/21/2025,07:45 AM,03/21/2025,09:20 AM,"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1",03/28/2025,07:45 AM,03/28/2025,09:20 AM,"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1",04/11/2025,07:45 AM,04/11/2025,09:20 AM,"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1",04/18/2025,07:45 AM,04/18/2025,09:20 AM,"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5; №1",04/25/2025,07:45 AM,04/25/2025,09:20 AM,"*ВІА Лк DL *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5"
"*МСП Лб DL *МСП(ПЗПІ-23-)-2; №1",05/23/2025,07:45 AM,05/23/2025,09:20 AM,"*МСП Лб DL *МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",02/14/2025,09:30 AM,02/14/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",02/21/2025,09:30 AM,02/21/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",02/28/2025,09:30 AM,02/28/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",03/07/2025,09:30 AM,03/07/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",03/14/2025,09:30 AM,03/14/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",03/21/2025,09:30 AM,03/21/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",03/28/2025,09:30 AM,03/28/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2; №2",04/11/2025,09:30 AM,04/11/2025,11:05 AM,"*ОРО Лк DL *ОРО(ПЗПІ-23-)-1; *МСП Лк DL *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2"
